"X1","X2","CLS"
0.538077652460325,0.333516318993912,"#F39B7FFF"
0.729663639085737,0.254416608443956,"#F39B7FFF"
0.784309811358419,0.286206208204412,"#00A087FF"
0.793342648966963,0.365555444655155,"#00A087FF"
0.793242838606647,0.46072462321589,"#00A087FF"
0.784060285457631,0.508334165086336,"#00A087FF"
0.747579598762352,0.508284259906178,"#00A087FF"
0.73849685597365,0.49241441261603,"#00A087FF"
0.720231560035932,0.492364507435872,"#00A087FF"
0.692833616129354,0.53992414412616,"#00A087FF"
0.692783710949197,0.571663838706458,"#00A087FF"
0.647170376285058,0.587483780816449,"#00A087FF"
0.58334165086336,0.603253817746282,"#00A087FF"
0.492164886715241,0.603154007385967,"#00A087FF"
0.419253418504841,0.571314502445354,"#00A087FF"
0.410170675716139,0.555444655155205,"#00A087FF"
0.419303323684999,0.539574807865056,"#00A087FF"
0.464966563529294,0.492065076354926,"#00A087FF"
0.455933725920751,0.412715839904182,"#00A087FF"
0.501596965765046,0.365206108394051,"#00A087FF"
